president_name,speech_title,speech_date,speech_duration
Woodrow Wilson,Address to a Joint Session of Congress on Trusts and Monopolies,"January 20, 1914",2516
Lyndon B. Johnson,Press Conference at the White House,"March 07, 1964",4689
Benjamin Harrison,Inaugural Address,"March 04, 1889",4058
Lyndon B. Johnson,Press Conference at the LBJ Ranch,"July 05, 1966",4887
Theodore Roosevelt,Third Annual Message,"December 07, 1903",11437
Ronald Reagan,State of the Union Address,"January 25, 1988",4825
John Tyler,Veto Message Regarding the Bank of the United States,"August 16, 1841",2514
Bill Clinton,Address on Affirmative Action,"July 19, 1995",6413
Dwight D. Eisenhower,State of the Union Address,"January 07, 1954",6016
Bill Clinton,Farewell Address,"January 18, 2001",1106
Franklin D. Roosevelt,Democratic National Convention,"June 27, 1936",1986
Franklin Pierce,Message Regarding Proposed US-Mexican Convention,"March 14, 1854",544
Thomas Jefferson,First Inaugural Address,"March 04, 1801",1724
Donald Trump,Labor Day Press Conference,"September 07, 2020",8599
Lyndon B. Johnson,Remarks at Gettysburg on Civil Rights,"May 30, 1963",686
James Monroe,Second Annual Message,"November 16, 1818",4376
James Madison,Message on the Special Congressional Session/State of Foreign Affairs,"May 23, 1809",1110
Abraham Lincoln,First Annual Message,"December 03, 1861",6977
Herbert Hoover,Second State of the Union address.,"December 02, 1930",4534
Barack Obama,Remarks on Election Night,"November 04, 2008",1927
George H. W. Bush,Address Before a Joint Session of Congress,"September 11, 1990",3217
William Taft,Message Regarding Tariff Legislation,"March 16, 1909",329
Joe Biden,Speech before the 77th Session of the United Nations General Assembly,"September 21, 2022",3623
Andrew Jackson,First Inaugural Address,"March 04, 1829",1124
Warren G. Harding,High Wages for High Production,"July 22, 1920",511
John F. Kennedy,"Address at the University of California, Berkeley","March 23, 1962",2235
George W. Bush,Farewell Address to the Nation,"January 15, 2009",1841
Herbert Hoover,Principles and Ideals of the United States Government,"October 22, 1928",6161
Andrew Johnson,Message Following the Death of Abraham Lincoln,"April 17, 1865",357
Dwight D. Eisenhower,State of the Union Address,"January 09, 1959",4968
Andrew Jackson,Eighth Annual Message to Congress,"December 05, 1836",12346
Millard Fillmore,Message Regarding Disturbance in Boston,"February 19, 1851",3313
Franklin D. Roosevelt,State of the Union (Four Freedoms),"January 06, 1941",3286
Bill Clinton,State of the Union Address,"January 19, 1999",7470
John Adams,Special Session Message to Congress (XYZ Affair),"May 16, 1797",3026
Ronald Reagan,Address Announcing His Candidacy for Reelection,"January 29, 1984",716
Woodrow Wilson,"Wilson's ""Fourteen Points""","January 08, 1918",2488
Donald Trump,Statement on the the Death of Abu Bakr al-Baghdadi,"October 27, 2019",740
John Adams,Inaugural Address,"March 04, 1797",2317
Ronald Reagan,State of the Union Address,"January 25, 1984",4940
Woodrow Wilson,Fifth Annual Message,"December 04, 1917",3915
Donald Trump,Remarks on the Killing of Qasem Soleimani,"January 03, 2020",526
Dwight D. Eisenhower,State of the Union Address,"January 09, 1958",4953
Andrew Jackson,Statement on the Independence of Texas,"December 21, 1836",1799
Millard Fillmore,Message Regarding Agreement with Texas,"December 13, 1850",902
Franklin D. Roosevelt,Third Inaugural Address,"January 20, 1941",1334
Bill Clinton,Statement on Kosovo,"March 24, 1999",1900
John Quincy Adams,Fourth Annual Message,"December 02, 1828",7271
Warren G. Harding,Liberty Under the Law,"July 22, 1920",558
John F. Kennedy,Remarks at West Point,"June 06, 1962",2347
George W. Bush,Final Press Conference,"January 12, 2009",7152
Calvin Coolidge,Fifth Annual Message,"December 06, 1927",8777
Andrew Johnson,Order Ending Commercial Restrictions on Confederate States,"April 29, 1865",232
George H. W. Bush,Address to the United Nations,"October 01, 1990",2759
William Taft,Message Regarding Income Tax,"June 16, 1909",1173
Joe Biden,Remarks on the Continued Battle for the Soul of the Nation,"September 01, 2022",2903
John F. Kennedy,Remarks at U.S. Air Force Academy,"June 05, 1963",2180
James Monroe,First Annual Message,"December 02, 1817",4432
James Madison,First Annual Message,"November 29, 1809",1831
Abraham Lincoln,Second Annual Message,"December 01, 1862",8360
Herbert Hoover,Address to the American Bankers’ Association.,"October 02, 1930",3692
George W. Bush,Remarks on Emergency Economic Stabilization Act of 2008,"October 03, 2008",684
John Adams,Fourth Annual Message,"November 22, 1800",1372
Donald Trump,Announcing His Nominee for the US Supreme Court,"September 26, 2020",2208
John Tyler,Veto Message on the Creation of a Fiscal Corporation,"September 09, 1841",2268
Bill Clinton,Time for Healing Ceremony,"April 23, 1995",912
Dwight D. Eisenhower,Atoms for Peace,"December 08, 1953",3034
George W. Bush,First Inaugural Address,"January 20, 2001",1582
Franklin D. Roosevelt,Fireside Chat 8: On Farmers and Laborers,"September 06, 1936",3199
Franklin Pierce,Message to Senate on Treaty with Mexico,"February 10, 1854",580
Grover Cleveland,Fourth Annual Message,"December 03, 1888",13210
Lyndon B. Johnson,"Remarks in Omaha, Nebraska","June 30, 1966",3816
Theodore Roosevelt,Message Regarding Treaty with Panama,"December 07, 1903",3859
Ronald Reagan,Address at Moscow State University,"May 31, 1988",6955
Lyndon B. Johnson,Press Conference at the State Department,"April 16, 1964",4574
Richard M. Nixon,Address to the Nation on Presidential Tape Recordings,"April 29, 1974",4748
Ulysses S. Grant,Fourth Annual Message,"December 02, 1872",10100
Barack Obama,2015 State of the Union Address,"January 20, 2015",6858
Andrew Johnson,Veto Message on Legislation Amending the Judiciary,"March 25, 1868",795
Thomas Jefferson,Proclamation on Spanish Territory,"November 27, 1806",423
Ronald Reagan,Speech on the Soviet Attack on a Korean Airliner,"September 05, 1983",2564
Woodrow Wilson,First Annual Message,"December 02, 1913",3553
Abraham Lincoln,"""A House Divided"" Speech","June 16, 1858",3193
Rutherford B. Hayes,Message Regarding Railroad Strike,"July 18, 1877",305
Richard M. Nixon,Address to the Nation About the Watergate Investigations,"April 30, 1973",2731
Woodrow Wilson,Veto of Immigration Legislation,"January 28, 1915",857
Ronald Reagan,State of the Union Address,"January 26, 1982",5160
Barack Obama,Second Inaugural Address,"January 21, 2013",2135
John F. Kennedy,Address to the American Association of Newspaper Editors,"April 20, 1961",1500
Lyndon B. Johnson,Press Conference,"October 06, 1966",3902
Chester A. Arthur,Message Regarding Settlement on Indian Territory,"July 01, 1884",332
George Washington,Veto Message on Congressional Redistricting,"April 05, 1792",156
George H. W. Bush,State of the Union Address,"January 31, 1990",3727
Lyndon B. Johnson,Address at Johns Hopkins University,"April 07, 1965",5615
Theodore Roosevelt,Announcement of the Death of President McKinley,"September 14, 1901",297
Andrew Johnson,Veto Message Regarding Rebel State Governments,"March 02, 1867",6723
James K. Polk,Message Regarding Treaty Of Guadelupe Hidalgo,"February 22, 1848",622
Bill Clinton,State of the Union Address,"January 25, 1994",7382
Dwight D. Eisenhower,Republican National Convention,"August 23, 1956",4305
Harry S. Truman,"Whistlestop Tour in Chariton, Iowa","September 18, 1948",785
Woodrow Wilson,Seventh Annual Message,"December 02, 1919",4755
Ronald Reagan,"Remarks to the Citizens of Ballyporeen, Ireland","June 03, 1984",2272
Chester A. Arthur,Veto of River and Harbors Act,"August 01, 1882",830
Ronald Reagan,Remarks at the Republican National Convention,"August 19, 1976",770
Woodrow Wilson,Eighth Annual Message,"December 07, 1920",2706
James Madison,Special Message to Congress on the Treaty of Ghent,"February 18, 1815",828
Abraham Lincoln,Third Annual Message,"December 08, 1863",6113
Bill Clinton,Address Before a Joint Session of Congress,"February 17, 1993",6999
Theodore Roosevelt,Message Regarding Labor Legislation,"March 25, 1908",2584
Lyndon B. Johnson,Remarks on the Cessation of Bombing of North Vietnam,"October 31, 1968",2068
Benjamin Harrison,First Annual Message,"December 03, 1889",12991
Calvin Coolidge,Third Annual Message,"December 08, 1925",10848
John F. Kennedy,Address on the Buildup of Arms in Cuba,"October 22, 1962",2407
James Madison,Third Annual Message,"November 05, 1811",2273
William Taft,Message Regarding Environmental Preservation,"January 14, 1910",4053
George H. W. Bush,Address on the End of the Gulf War,"February 27, 1991",774
Grover Cleveland,First Annual Message (Second Term),"December 04, 1893",12281
Lyndon B. Johnson,Address to the National Association of Broadcasters,"April 01, 1968",2563
Bill Clinton,Address to the Employees of the Mackie Metal Plant,"November 30, 1995",3026
James K. Polk,Message Regarding the Treaty of Guadalupe Hidalgo,"July 06, 1848",3006
Millard Fillmore,Third Annual Message,"December 06, 1852",9923
Harry S. Truman,Truman Doctrine,"March 12, 1947",2196
John Adams,Second Annual Message,"December 08, 1798",2218
Ronald Reagan,Speech to the Nation on the Campaign Against Drug Abuse,"September 14, 1986",2922
Warren G. Harding,The Republic Must Awaken,"April 04, 1917",431
Gerald Ford,State of the Union Address,"January 12, 1977",4707
Rutherford B. Hayes,Veto Message Regarding Immigration Legislation,"March 01, 1879",3180
Andrew Johnson,Message Proclaiming End to Insurrection in the United States,"August 20, 1866",1936
Franklin D. Roosevelt,Fireside Chat 4: On Economic Progress,"October 22, 1933",2711
Barack Obama,Speech on the BP Oil Spill,"June 15, 2010",2698
Lyndon B. Johnson,Remarks upon Signing the Civil Rights Bill,"July 02, 1964",1021
Andrew Jackson,Message Regarding Treaties with the Choctaw Nation of Indians,"May 06, 1830",886
Grover Cleveland,Veto Message Regarding Immigration Legislation,"March 02, 1897",1886
Donald Trump,Speech Urging Supporters to Go Home,"January 06, 2021",166
George Washington,First Annual Message to Congress,"January 08, 1790",846
Ronald Reagan,Address from the Brandenburg Gate (Berlin Wall),"June 12, 1987",2676
Lyndon B. Johnson,Speech Before Congress on Voting Rights,"March 15, 1965",3691
Theodore Roosevelt,Message Convening a Special Session of Congress,"October 20, 1903",240
George W. Bush,Remarks on National Security and the War Effort,"July 17, 2004",2527
Franklin D. Roosevelt,Address to Congress Requesting a Declaration of War,"December 08, 1941",514
James Buchanan,Third Annual Message,"December 19, 1859",12334
James K. Polk,Announcement of War with Mexico,"May 13, 1846",269
John F. Kennedy,State of the Union,"January 30, 1961",5162
Donald Trump,Speech Declaring a National Emergency,"February 15, 2019",8894
Ronald Reagan,Speech to the NAACP Annual Convention,"June 29, 1981",3866
Thomas Jefferson,Special Message to Congress on the Gun Boats,"February 10, 1807",1123
Andrew Johnson,Fourth Annual Message to Congress,"December 08, 1868",9797
Franklin Pierce,Fourth Annual Message,"December 02, 1856",10473
Franklin D. Roosevelt,Democratic National Convention,"July 20, 1944",1733
George W. Bush,Remarks on Freedom in Iraq and Middle East,"November 06, 2003",3622
John F. Kennedy,The Goal of Sending a Man to the Moon,"May 25, 1961",5764
John Tyler,Veto Message Regarding Import Duties,"August 09, 1842",3225
Jimmy Carter,Anti-Inflation Program Speech,"October 24, 1978",3236
Donald Trump,Inaugural Address,"January 20, 2017",1444
Barack Obama,2012 State of the Union Address,"January 24, 2012",7145
Ulysses S. Grant,Second Annual Message,"December 05, 1870",8733
Thomas Jefferson,Second Inaugural Address,"March 04, 1805",2151
Ronald Reagan,Address on Federal Tax Reduction Legislation,"July 27, 1981",3434
Woodrow Wilson,Fourth of July Address,"July 04, 1914",3212
Barack Obama,"Remarks at Memorial for Victims of the Tucson, AZ Shooting","January 12, 2011",2817
Herbert Hoover,Veto Messages Regarding Emergency Adjusted Compensation Act,"February 26, 1931",2217
Andrew Johnson,Proclamation Restoring All Rights to Rebellion Participants,"September 07, 1867",1272
Joe Biden,Farewell Address,"January 15, 2025",2403
Andrew Jackson,Protest of Senate Censure,"April 15, 1834",12602
Lyndon B. Johnson,Press Conference,"February 01, 1964",3964
Joe Biden,Remarks on the Russian Invasion of Ukraine,"February 24, 2022",3455
Grover Cleveland,Message Regarding the Financial Crisis,"December 20, 1895",604
Lyndon B. Johnson,Speech to the Association of American Editorial Cartoonists,"May 13, 1965",2417
George Washington,Proclamation of Neutrality,"April 22, 1793",237
Harry S. Truman,"Whistlestop Tour in Trenton, Missouri","September 18, 1948",782
Bill Clinton,State of the Union Address,"January 24, 1995",9172
Andrew Jackson,Sixth Annual Message to Congress,"December 01, 1834",13411
James K. Polk,Request to Increase the Size of the Army,"December 29, 1846",497
Chester A. Arthur,Veto of the Chinese Exclusion Act,"April 04, 1882",3008
Gerald Ford,Address at the University of Hawaii,"December 07, 1975",2224
Donald Trump,Remarks at the United Nations General Assembly,"September 24, 2019",3842
Warren G. Harding,Safeguarding America,"September 11, 1919",540
Ronald Reagan,Remarks Honoring the Vietnam War’s Unknown Soldier,"May 28, 1984",2348
Calvin Coolidge,"Address at the Opening of Work on Mount Rushmore in Black Hills, SD","August 10, 1927",1041
George W. Bush,Remarks on Plan to Assist Automakers,"December 19, 2008",1043
James Madison,Seventh Annual Message,"December 05, 1815",3158
Warren G. Harding,The American Soldier,"July 22, 1920",547
Richard M. Nixon,Address to the Nation on the War in Vietnam,"November 03, 1969",4528
Benjamin Harrison,Message Regarding the International American Conference,"June 19, 1890",374
Bill Clinton,National Service Address,"April 30, 1993",5064
Theodore Roosevelt,Eighth Annual Message,"December 09, 1908",19384
James Madison,Proclamation-- Occupation of West Florida,"October 27, 1810",622
Calvin Coolidge,Declaration of Independence Anniversary Commemoration,"July 05, 1926",4427
James Monroe,First Inaugural Address,"March 04, 1817",3367
Grover Cleveland,Message Regarding Economic Crisis,"August 08, 1893",2074
Lyndon B. Johnson,Remarks on Decision not to Seek Re-Election,"March 31, 1968",4032
Joe Biden,"Remarks on School Shooting in Uvalde, Texas","May 24, 2022",814
William Taft,Address on the Tariff Law of 1909,"November 17, 1909",7693
George H. W. Bush,Address to the Nation on the Budget,"October 02, 1990",1115
Franklin D. Roosevelt,Fireside Chat 6: On Government and Capitalism,"September 30, 1934",3155
Harry S. Truman,Radio Report to the American People on the Potsdam Conference,"August 09, 1945",4043
Bill Clinton,Address on the Kosovo Agreement,"June 10, 1999",1674
James K. Polk,Message Regarding Size of the Army,"August 01, 1848",500
Bill Clinton,Address on Bosnia,"November 27, 1995",2904
Jimmy Carter,Inaugural Address,"January 20, 1977",1101
Rutherford B. Hayes,Proclamation Regarding Indian Territory,"April 26, 1879",387
Ronald Reagan,State of the Union Address,"January 27, 1987",3767
Woodrow Wilson,Message Regarding Military Draft,"May 18, 1917",1905
Andrew Jackson,Second Annual Message to Congress,"December 06, 1830",14997
Lyndon B. Johnson,Speech to the Associated Press Luncheon,"April 20, 1964",8700
Franklin D. Roosevelt,Fireside Chat 3: On the National Recovery Administration,"July 24, 1933",2979
Barack Obama,Remarks on Wall Street Reform,"April 28, 2010",3503
Andrew Johnson,Second Annual Message,"December 03, 1866",7127
George Washington,Second Annual Message to Congress,"December 08, 1790",1400
Lyndon B. Johnson,Press Conference at the LBJ Ranch,"March 20, 1965",4762
Donald Trump,Farewell Address,"January 19, 2021",2782
William McKinley,Message Regarding Relief of Americans in Cuba,"May 17, 1897",212
John F. Kennedy,Address to the Diplomatic Corps of Latin America,"March 13, 1961",2425
James K. Polk,Message Regarding Increase in Military Force,"March 24, 1846",945
James Buchanan,Veto Message Regarding Land-Grant Colleges,"February 24, 1859",3740
George W. Bush,Remarks at the Republican National Convention,"September 03, 2004",5278
Franklin D. Roosevelt,Fireside Chat 19: On the War with Japan,"December 09, 1941",2978
Thomas Jefferson,Special Message to Congress on the Burr Conspiracy,"January 22, 1807",2472
Andrew Johnson,Veto Message Regarding Electoral College Participation,"July 20, 1868",1617
Ronald Reagan,First Press Conference,"January 29, 1981",4442
Ulysses S. Grant,Proclamation Suspending Habeas Corpus,"October 17, 1871",820
Richard M. Nixon,Address to the Nation About the Watergate Investigations,"August 15, 1973",3593
Donald Trump,Address at the 73rd Session of the United Nations General Assembly,"September 25, 2018",3608
John Tyler,Message to Senate on Negotiations with Britain,"August 11, 1842",8165
John F. Kennedy,Address before the Canadian Parliament,"May 17, 1961",2936
Franklin D. Roosevelt,Fireside Chat 28: On the State of the Union,"January 11, 1944",3397
George W. Bush,State of the Union Address,"January 28, 2003",5364
James Buchanan,Message to Congress Transmitting the Constitution of Kansas,"February 02, 1858",6657
Ulysses S. Grant,Message Regarding Fourteenth Amendment,"May 03, 1871",506
Thomas Jefferson,Address to the Chiefs of the Cherokee Nation,"January 10, 1806",844
Donald Trump,Address to Joint Session of Congress,"February 28, 2017",4738
Jimmy Carter,Speech on Establishing Diplomatic Relations with China,"December 15, 1978",902
Lyndon B. Johnson,Remarks at the Ninety Sixth Charter Day Observances,"February 21, 1964",1174
Andrew Jackson,Message on the Constitutional Rights and Responsibilities of the President,"December 12, 1833",312
Andrew Johnson,Veto Message Regarding Rebel State Governments,"March 23, 1867",2116
Donald Trump,Inaugural Address,"January 20, 2025",2893
Barack Obama,Speech on American Diplomacy in the Middle East and North Africa,"May 19, 2011",5671
Herbert Hoover,Message Regarding Unemployment Relief,"October 18, 1931",1387
Lyndon B. Johnson,Press Conference in the East Room,"April 27, 1965",4631
George Washington,Fourth Annual Message to Congress,"November 06, 1792",2354
Chester A. Arthur,Third Annual Message,"December 04, 1883",8226
Grover Cleveland,Message Regarding Venezuelan-British Dispute,"December 17, 1895",1553
Lyndon B. Johnson,Press Conference in the East Room,"July 20, 1966",4079
Joe Biden,Remarks on the Anniversary of the January 6th Assault on the US Capitol,"January 06, 2022",3731
Donald Trump,Statement on Iran,"January 08, 2020",1053
John Adams,"Proclamation of Day of Fasting, Humiliation and Prayer","March 23, 1798",652
Franklin D. Roosevelt,Democratic National Convention,"July 19, 1940",3503
Harry S. Truman,On the Veto of the Taft-Hartley Bill,"June 20, 1947",1785
Bill Clinton,Remarks to the People of Rwanda,"March 25, 1998",2238
Abraham Lincoln,Eulogy on Henry Clay,"July 06, 1852",10696
Martin Van Buren,Inaugural Address,"March 04, 1837",3826
Dwight D. Eisenhower,Second Inaugural Address,"January 21, 1957",1636
Benjamin Harrison,Statement on the Johnstown Flood,"June 04, 1889",751
Lyndon B. Johnson,Remarks on Signing the Nuclear Nonproliferation Treaty,"July 01, 1968",1128
Abraham Lincoln,Fourth Annual Message,"December 06, 1864",5863
Barack Obama,Remarks on the Lilly Ledbetter Fair Pay Restoration Act Bill Signing,"January 29, 2009",899
Herbert Hoover,Inaugural Address,"March 04, 1929",3738
John F. Kennedy,Yale University Commencement,"June 11, 1962",3822
John Quincy Adams,Third Annual Message,"December 04, 1827",6917
Joe Biden,Remarks on the One-Year Anniversary of the Ukraine War,"February 21, 2023",2735
Herbert Hoover,Message Regarding London Naval Treaty,"July 07, 1930",2158
Barack Obama,Acceptance Speech at the Democratic National Convention,"August 28, 2008",4608
Abraham Lincoln,Emancipation Proclamation,"January 01, 1863",705
James Monroe,Fourth Annual Message,"November 14, 1820",3446
John F. Kennedy,State of the Union Address,"January 14, 1963",5319
Rutherford B. Hayes,First Annual Message,"December 03, 1877",10711
Jimmy Carter,Debate with President Gerald Ford (Domestic Issues),"September 23, 1976",13458
Donald Trump,Remarks at Salute to America,"July 04, 2020",3043
John Adams,Proclamation of Pardons to Those Engaged in Fries Rebellion,"May 21, 1800",290
Franklin Pierce,Proclamation,"January 18, 1854",270
George W. Bush,Remarks on Faith-Based and Community Initiatives,"January 29, 2001",1056
Franklin D. Roosevelt,Speech at Madison Square Garden,"October 31, 1936",2429
Dwight D. Eisenhower,State of the Union Address,"January 05, 1956",8258
John Tyler,Address Upon Assuming the Office of President of the United States,"April 09, 1841",1667
James K. Polk,Message Regarding Establishment Of The French Republic,"April 03, 1848",491
Theodore Roosevelt,Message Regarding US-Cuban Commercial Convention,"November 10, 1903",2602
Ronald Reagan,Remarks at the Signing of the INF Treaty with Soviet Premier Gorbachev,"December 08, 1987",937
Grover Cleveland,Message Regarding Chinese Exclusion Act,"October 01, 1888",2071
Grover Cleveland,Message Regarding Treaty with Britain,"January 11, 1897",384
Lyndon B. Johnson,Speech Before the Foreign Institute,"March 23, 1966",1581
Donald Trump,Remarks on the 2020 Election,"November 05, 2020",2687
Andrew Jackson,First Annual Message to Congress,"December 08, 1829",10508
Ronald Reagan,Remarks on U.S. Casualties in Lebanon and Grenada,"November 04, 1983",979
Woodrow Wilson,Memorial Day Address,"May 30, 1914",936
Barack Obama,2016 State of the Union Address,"January 12, 2016",6139
Richard M. Nixon,Address to the Nation Announcing Decision To Resign the Office of President,"August 08, 1974",1792
Ulysses S. Grant,Second Inaugural Address,"March 04, 1873",1332
Franklin D. Roosevelt,On Lend Lease,"March 15, 1941",2970
George W. Bush,Address on Signing Medicare Legislation,"December 08, 2003",2564
Barack Obama,Remarks on Sandy Hook Elementary Shootings,"December 16, 2012",1699
Woodrow Wilson,Second Annual Message,"December 08, 1914",0
Ronald Reagan,Address to the Nation on Christmas and the Situation in Poland,"December 23, 1981",2174
Jimmy Carter,Address to the Nation on Energy,"November 08, 1977",2455
Ulysses S. Grant,Message Regarding Presidential Election,"January 29, 1877",865
Richard M. Nixon,Remarks on Being Reelected to the Presidency,"November 07, 1972",698
Barack Obama,Remarks to the People of Cuba,"March 22, 2016",4116
John Tyler,First Annual Message,"December 07, 1841",8240
George H. W. Bush,Remarks on the Signing of the Americans with Disabilities Act,"July 26, 1990",1799
Theodore Roosevelt,First Annual Message,"December 03, 1901",19588
Lyndon B. Johnson,Press Conference,"December 31, 1966",3179
Grover Cleveland,First Inaugural Address,"March 04, 1885",1553
Herbert Hoover,Statement on Unemployment Relief,"February 03, 1931",1458
Barack Obama,Press Conference After 2010 Midterm Elections,"November 03, 2010",8563
Joe Biden,Remarks after the Attempted Assassination of Former President Trump,"July 14, 2024",1044
Herbert Hoover,Message Regarding Unemployment Relief,"December 09, 1930",309
Barack Obama,Address to the United Nations,"September 23, 2010",4099
Joe Biden,Statement to the American People,"July 24, 2024",1613
George H. W. Bush,Address on Iraq's Invasion of Kuwait,"August 08, 1990",1416
Theodore Roosevelt,Message Regarding US-Cuban Relations,"June 13, 1902",1209
Lyndon B. Johnson,Remarks on Departing for the Asia-Pacific Trip,"October 17, 1966",320
Chester A. Arthur,Message Regarding Central American Canal,"December 10, 1884",1851
John Tyler,Message Regarding Finances and Fiscal Policy,"March 25, 1842",2566
Barack Obama,2012 Election Night Victory Speech,"November 06, 2012",2219
Woodrow Wilson,"""The Opinion of the World"" Speech","October 20, 1914",1076
Ronald Reagan,Speech on the Strategic Arms Reduction Talks,"November 18, 1981",3225
Jimmy Carter,State of the Union Address,"January 19, 1978",4559
Rutherford B. Hayes,Inaugural Address,"March 05, 1877",2469
Richard M. Nixon,Second Inaugural Address,"January 20, 1973",1785
Barack Obama,Commencement Address at Rutgers University,"May 15, 2016",4926
Franklin D. Roosevelt,Fireside Chat 17: On An Unlimited National Emergency,"May 27, 1941",4553
George W. Bush,Temporary Worker Program Proposal,"January 07, 2004",2396
Ronald Reagan,"Speech on the Creation of the Martin Luther King, Jr., National Holiday","November 02, 1983",864
Woodrow Wilson,Message Regarding Tampico Incident,"April 20, 1914",1299
Barack Obama,Remarks in Eulogy for the Honorable Reverend Clementa Pickney,"June 26, 2015",3065
Gerald Ford,Remarks on Taking the Oath of Office,"August 09, 1974",846
Ulysses S. Grant,Fifth Annual Message,"December 01, 1873",10022
Andrew Jackson,Proclamation Regarding Duties on Austrian Vessels,"May 11, 1829",400
Theodore Roosevelt,Message Regarding the Panamanian Revolution,"November 16, 1903",6624
Ronald Reagan,Address to the Nation on the Soviet-U.S. Summit Meeting,"December 10, 1987",2687
Grover Cleveland,Message Regarding Civil Service Reform,"February 02, 1888",9879
Grover Cleveland,Fourth Annual Message (Second Term),"December 07, 1896",15419
Lyndon B. Johnson,Remarks on Receiving the National Freedom Award,"February 23, 1966",3894
Donald Trump,Swearing-In Ceremony of the Honorable Amy Coney Barrett to the US Supreme Court,"October 26, 2020",1499
Franklin Pierce,First Annual Message,"December 05, 1853",9586
George W. Bush,"Proposal for Global Fund to Fight HIV/AIDS, Malaria, and Tuberculosis","May 11, 2001",908
Franklin D. Roosevelt,Second Inaugural Address,"January 20, 1937",1802
Dwight D. Eisenhower,State of the Union Address,"January 06, 1955",7224
John Tyler,Special Session Message to Congress Regarding General Affairs of the Country,"June 01, 1841",5981
James K. Polk,Message Regarding the Oregon Territory,"May 29, 1848",717
Rutherford B. Hayes,Veto of Bland-Allison Act,"February 08, 1878",1129
Jimmy Carter,Debate with President Gerald Ford (Foreign and Defense Issues),"October 06, 1976",12812
Donald Trump,Press Conference on Executive Orders,"August 08, 2020",5382
John Adams,Death of George Washington,"December 19, 1799",1260
Herbert Hoover,Message regarding the Smoot-Hawley Tariff Act,"June 16, 1930",1670
George W. Bush,Remarks on the War on Terror,"March 19, 2008",3158
Abraham Lincoln,Public Letter to James Conkling,"August 26, 1863",1670
James Monroe,Third Annual Message,"December 07, 1819",4702
John F. Kennedy,90th Anniversary of Vanderbilt University,"May 18, 1963",2012
Joe Biden,State of the Union Address,"February 07, 2023",7210
Abraham Lincoln,Second Inaugural Address,"March 04, 1865",698
